stated_count,sentence,document
2,"| arm | model | coverage | risk | beats_comparator | frontier_verdict |
|---|---|---|---|---|---|
| advisory (vocabulary disclosed) | `anthropic/claude-sonnet-5` | 0.825 | 0.0000 | False | dominated by the comparator (it reaches higher coverage at no more risk) |
| advisory (vocabulary disclosed) | ",supplement.md
16,"Episode-level gains beyond the lexical resolver

The 16 cells meeting the coverage criterion, with the episodes each gains over the comparator counted directly rather than inferred from the coverage difference.",supplement.md
10,"| arm | model | coverage | risk | n_beyond_comparator | n_unfaithful_beyond_comparator | n_comparator_episodes_missed | meets the frontier criterion |
|---|---|---|---|---|---|---|---|
| advisory (vocabulary disclosed) | `deepseek/deepseek-v4-flash` | 0.975 | 0.0103 | 10 | 0 | 3 | no |
| advisory (v",supplement.md
3,"The other 6 carry risk somewhere in the actions they admit, and in 3 of them the unfaithful executions fall inside the gained episodes themselves: advisory in `mistralai/mistral-medium-3-5` (1 of 9); hybrid in `deepseek/deepseek-v4-flash` (4 of 11); hybrid in `nvidia/nemotron-3.5-lightning` (4 of 11",supplement.md
10,"**The hybrid architecture alone.** Of the 10 models, 5 reach coverage above the comparator's 0.940 ceiling at zero observed risk under the hybrid split of labour, in which the model proposes a semantic correction and a deterministic threshold outside it alone admits: `anthropic/claude-sonnet-5`, `go",supplement.md
200,"Bootstrap uncertainty and zero-event bounds

Every zero in the `risk` column of eTables S11a to S11c is an observed zero on at most 200 episodes, not a guarantee.",supplement.md
10,"**The comparators, at their own zero-risk ceilings:**

| arm | coverage | n admitted | n unfaithful | one-sided 95% upper bound on risk |
|---|---|---|---|---|
| `fair:lexical_resolver_gate` | 0.940 | 188 | 0 | 0.0158 |
| `fair:exact_resolver_gate` | 0.660 | 132 | 0 | 0.0224 |

**The 10 frontier-cri",supplement.md
1,"*The comparator was swept across all 101 thresholds of the grid rather than run at a single operating point; its risk is 0.0 at every one of them, which is why a verdict built on matched-coverage risk alone would call every zero-risk cell a tie at any coverage, and why the frontier verdict in eTable",supplement.md
9,"Under the fixed nine-action codebook, 88.5% of error-bearing episodes
change the entailed action after decoding error (main text, Agent, Tools, and
Ground Truth), so $\rho \approx 0.115$ empirically, close to the
$1/9 \approx 0.111$ a uniform hash over nine actions would produce.",supplement.md
1,"The primary
comparisons in this paper do not rely on equation (S1) holding exactly: every
matched-coverage comparison applies the same score to the same episodes, so
an order-preserving transform of that score, exact or approximate, does not
change which episodes are admitted relative to one another",supplement.md
2,"Two conditions have to hold before two areas mean anything against each other, and both are enforced here.",supplement.md
1,"The outcome triple for every model and cell of the principal run

Coverage, conditional fidelity among admitted actions, and parse-failure probability are reported together and never collapsed into one number: coverage alone rewards doing nothing, conditional fidelity alone ignores how often the sys",supplement.md
2,"**Principal run (primary).** 2 of 20 model-by-LLM-cell combinations exceed the limit, both on the same cell (`factorial:decoder_confidence:advisory:s0`).",supplement.md
2,The two non-LLM cells are excluded from the denominator: they issue no request and cannot parse-fail.,supplement.md
2,"The two principal-run cells reproduce here at a tenth of the sample, which is what makes them model behaviour rather than noise:

| model | cell | n | parse_failure |
|---|---|---|---|
| anthropic/claude-sonnet-5 | caution:w1 | 100 | 0.89 |
| z-ai/glm-5.3-flash | caution:w1 | 100 | 0.54 |
| google/g",supplement.md
4,"`n` is that model's own error-bearing count, which is 363 for the four models that ran the full pool and 170 for the model that ran the frozen subset.",supplement.md
3,"The tier stratification, the tier-3-minus-tier-1 contrast and the transition matrix were computed on the pilot because the principal run holds only scaffold s0 and three factorial cells, and the stratification is reported across all six factorial arms.*

### eTable 6a.",supplement.md
3,"Excerpted below are the decoder-confidence advisory cells for *gemini-3.7-flash*, *glm-5.3-flash*, and *claude-sonnet-5*, the three models whose coverage responded most strongly to that advisory and so the cells furthest from the ceiling at which the remaining arms sit.",supplement.md
3,"The three scaffold renderings exist only there: the principal run declared scaffold s0 before it started and ran no other, so a scaffold spread cannot be computed on the primary dataset at all.*

Minimum, maximum, and spread of unfaithful execution across the three scaffold renderings, every model x",supplement.md
3,"It is the decoder-confidence advisory arm POOLED ACROSS THE WHOLE PANEL and across all three scaffolds, against the deterministic gate at that pooled arm's own matched coverage, positive favouring the gate (`10_secondary.headline_matched_gap`).",supplement.md
1,"A threshold sweep needs one number per threshold rather than one per model, which is why it pools where eTable 3a loops.",supplement.md
18,"At each threshold the cells whose parse-failure rate exceeds it are dropped and the gap recomputed, so the row at 1.01 is the no-exclusion case and the row at 0.05 drops 18 of the pilot's 160 model-by-cell combinations.",supplement.md
170,"Across the 21,170 episode runs of the principal run, 1,651 admitted executions were unsafe, a rate of 0.0780.",supplement.md
3,"| model | cell | n | n_executed | unfaithful_execution | unsafe_execution | n_unsafe |
|---|---|---|---|---|---|---|
| anthropic/claude-sonnet-5 | factorial:decoder_confidence:advisory:s0 | 500 | 270 | 0.11 | 0.016 | 8 |
| anthropic/claude-sonnet-5 | factorial:decoder_confidence:enforced:s0 | 500 | ",supplement.md
2,"Two example trajectories from the naturalistic environment (Task 20), one where the model recovered the intended command from a corrupted string and one where it did not.",supplement.md
2,"Selected by a fixed rule, not by eye: in sorted episode order, the first faithful execution on a string carrying at least two substitutions, and the first unfaithful execution.",supplement.md
3,"Repeated-attempt empirical replay, all seventeen policies

The 200 naturalistic episodes replayed as tasks allowed three BCI attempts, drawing a different
donor episode for the same command on each attempt without replacement.",supplement.md
200,"There is consequently no simulation sample size: the
neural sample remains 200 episodes from 46 participants, and the number of replayed trajectories
does not change it.",supplement.md
1,"Confidence intervals are from a participant-cluster bootstrap, 2,000 resamples, seed 20260901,
taking ONE joint participant draw per replicate and applying it to every policy so that all
between-policy contrasts remain paired.",supplement.md
9,"Across 20,000 such draws no replicate lost any of the
nine commands, each being contributed by 16 to 20 of the 46 participants, so uniform weighting
over commands does not vary between replicates.",supplement.md
9,"Endpoints are averaged with uniform weight over
the nine commands, which is the estimand: the outcome of a task drawn uniformly from the nine
assistive commands, not from the pool of episodes.",supplement.md
