value,context,found_in,status
19,"supplement.md: d_episode_pool()` (1,084 episodes) minus the 19 episodes whose calibration fit came from an",followup_semantic_fair_cells.csv:n_comparator_episodes_missed (tol=exact),MATCHED
0,"supplement.md: ed decoder-error prevalence. Only scaffold s0 was run at full pool, and it was declared ca",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1477,"supplement.md: l, and it was declared canonical in commit `c1477cc1` BEFORE the run, on the ground that it is",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,"supplement.md: it was declared canonical in commit `c1477cc1` BEFORE the run, on the ground that it is th",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
526928,supplement.md: identifiers still match their own digest (`bd526928dae222f0...`). `anthropic/claude-sonnet-5` r,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
222,supplement.md: rs still match their own digest (`bd526928dae222f0...`). `anthropic/claude-sonnet-5` ran a f,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: till match their own digest (`bd526928dae222f0...`). `anthropic/claude-sonnet-5` ran a fro,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
5,supplement.md: 6928dae222f0...`). `anthropic/claude-sonnet-5` ran a frozen 500-episode subset of that poo,IGNORED: VERSION_SLUG,IGNORED
500,supplement.md: ). `anthropic/claude-sonnet-5` ran a frozen 500-episode subset of that pool in the full-pool,efigure2_recalibration_paired.csv:n_shared_episodes (tol=exact),MATCHED
20260830,"supplement.md: set was drawn without replacement under seed 20260830, stratified on decoder-error status (170 err",naturalistic_manifest.json.draw.seed (tol=exact),MATCHED
170,"supplement.md: 0260830, stratified on decoder-error status (170 error-bearing, 330 clean, prevalence 0.3400",number_audit_enumeration_claims.csv:stated_count (tol=exact),MATCHED
330,"supplement.md: on decoder-error status (170 error-bearing, 330 clean, prevalence 0.3400 against the pool's",run_manifest.json.principal_run.model_episode_subsets.anthropic/claude-sonnet-5.n_clean (tol=exact),MATCHED
0.3400,"supplement.md: us (170 error-bearing, 330 clean, prevalence 0.3400 against the pool's 0.3408) and allocated acr",figure5_naturalistic.csv:err_prevalence (tol=exact),MATCHED
0.3408,"supplement.md: clean, prevalence 0.3400 against the pool's 0.3408) and allocated across participants by larges",run_manifest.json.principal_run.model_episode_subsets.anthropic/claude-sonnet-5.source_error_prevalence (tol=display-rounding),MATCHED
34,"supplement.md: ploratory dataset. It ran the full design of 34 cells on 100 episodes from 42 participants,",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
100,"supplement.md: taset. It ran the full design of 34 cells on 100 episodes from 42 participants, stratified so",followup_dataset_inventory.csv:episodes (tol=exact),MATCHED
42,"supplement.md: full design of 34 cells on 100 episodes from 42 participants, stratified so that 49 of them",semantic_primary_comparison.csv:n_comparator_episodes_missed (tol=exact),MATCHED
49,"supplement.md: des from 42 participants, stratified so that 49 of them carry a decoding error. That enrichm",followup_task14_repeats.csv:executed (tol=exact),MATCHED
50,supplement.md: t enrichment is why it is not the primary: a 50:50 sample answers a conditional question and,followup_task13_confirmation.csv:executed (tol=exact),MATCHED
50,supplement.md: nrichment is why it is not the primary: a 50:50 sample answers a conditional question and ca,followup_task13_confirmation.csv:executed (tol=exact),MATCHED
12,"supplement.md: te. It remains the only dataset that ran the 12 caution wordings, the 3 scaffold renderings,",followup_semantic_fair_cells.csv:n_unfaithful (tol=exact),MATCHED
3,"supplement.md: ataset that ran the 12 caution wordings, the 3 scaffold renderings, the self-confidence arm",cost_envelope.csv:price_in (tol=exact),MATCHED
2,supplement.md: h where it appears. Eighteen cells were the 2 x 3 factorial crossed with three scaffold re,cost_envelope.csv:price_in (tol=exact),MATCHED
3,supplement.md: ere it appears. Eighteen cells were the 2 x 3 factorial crossed with three scaffold render,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ce|decoder_confidence}:{advisory|enforced}:s{0|1|2}`). Twelve were the caution-wording batt,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: |decoder_confidence}:{advisory|enforced}:s{0|1|2}`). Twelve were the caution-wording batter,cost_envelope.csv:price_in (tol=exact),MATCHED
2,supplement.md: ecoder_confidence}:{advisory|enforced}:s{0|1|2}`). Twelve were the caution-wording battery,cost_envelope.csv:price_in (tol=exact),MATCHED
0,"supplement.md: were the caution-wording battery (`caution:w0` through `caution:w11`), each a single wordi",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
11,"supplement.md: ding battery (`caution:w0` through `caution:w11`), each a single wording added to the no-unc",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
12,"supplement.md: r than on the two factors alone, because the 12 caution cells and the single-shot cell share",followup_semantic_fair_cells.csv:n_unfaithful (tol=exact),MATCHED
20260828,"supplement.md: run_manifest.json`) records the random seed (20260828), the complete cell list below, the frozen e",run_manifest.json.seed (tol=exact),MATCHED
256,"supplement.md: costs, the human-set budget ceiling, and SHA-256 digests of the action codebook (`c6637ec6...",IGNORED: VERSION_SLUG,IGNORED
6637,"supplement.md: nd SHA-256 digests of the action codebook (`c6637ec6...`), the tool schemas (`920e31ef...`), a",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
6,"supplement.md: -256 digests of the action codebook (`c6637ec6...`), the tool schemas (`920e31ef...`), and",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
920,"supplement.md: codebook (`c6637ec6...`), the tool schemas (`920e31ef...`), and the prompt bank (`d9cfc63e...",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
31,"supplement.md: book (`c6637ec6...`), the tool schemas (`920e31ef...`), and the prompt bank (`d9cfc63e...`).",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
9,"supplement.md: emas (`920e31ef...`), and the prompt bank (`d9cfc63e...`). All three artefacts were frozen",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
63,"supplement.md: (`920e31ef...`), and the prompt bank (`d9cfc63e...`). All three artefacts were frozen befor",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,"supplement.md: d so never reached a terminal call, covering 0 of 200 episodes). They were paid for and are",cost_envelope.csv:cached_frac (tol=exact),MATCHED
200,"supplement.md: never reached a terminal call, covering 0 of 200 episodes). They were paid for and are retain",figure5_naturalistic.csv:n (tol=exact),MATCHED
1,supplement.md: entation in the pilot directory. ### eTable 1a. The six analysed datasets | run directory,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
21170,supplement.md: -|---|---|---|---|---| | `runs_principal/` | 21170 | 6 | 1065 | 5 | 57135 | 1091 | 26.13 | PRIM,followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
6,supplement.md: -|---|---|---| | `runs_principal/` | 21170 | 6 | 1065 | 5 | 57135 | 1091 | 26.13 | PRIMARY.,followup_dataset_inventory.csv:cells (tol=exact),MATCHED
1065,supplement.md: -|---|---| | `runs_principal/` | 21170 | 6 | 1065 | 5 | 57135 | 1091 | 26.13 | PRIMARY. The he,efigure2_recalibration_paired.csv:n_shared_episodes (tol=exact),MATCHED
5,supplement.md: --| | `runs_principal/` | 21170 | 6 | 1065 | 5 | 57135 | 1091 | 26.13 | PRIMARY. The headli,followup_dataset_inventory.csv:models (tol=exact),MATCHED
57135,supplement.md: | `runs_principal/` | 21170 | 6 | 1065 | 5 | 57135 | 1091 | 26.13 | PRIMARY. The headline arms,followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
1091,supplement.md: principal/` | 21170 | 6 | 1065 | 5 | 57135 | 1091 | 26.13 | PRIMARY. The headline arms on ever,followup_dataset_inventory.csv:retry attempts (tol=exact),MATCHED
26.13,supplement.md: al/` | 21170 | 6 | 1065 | 5 | 57135 | 1091 | 26.13 | PRIMARY. The headline arms on every primar,followup_dataset_inventory.csv:measured cost (US $) (tol=exact),MATCHED
16200,supplement.md: own decoder-error prevalence. | | `runs/` | 16200 | 34 | 100 | 5 | 47030 | 2716 | 33.88 | EXPL,followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
34,supplement.md: oder-error prevalence. | | `runs/` | 16200 | 34 | 100 | 5 | 47030 | 2716 | 33.88 | EXPLORATO,followup_dataset_inventory.csv:cells (tol=exact),MATCHED
100,supplement.md: error prevalence. | | `runs/` | 16200 | 34 | 100 | 5 | 47030 | 2716 | 33.88 | EXPLORATORY pil,followup_dataset_inventory.csv:episodes (tol=exact),MATCHED
5,supplement.md: prevalence. | | `runs/` | 16200 | 34 | 100 | 5 | 47030 | 2716 | 33.88 | EXPLORATORY pilot.,followup_dataset_inventory.csv:models (tol=exact),MATCHED
47030,supplement.md: alence. | | `runs/` | 16200 | 34 | 100 | 5 | 47030 | 2716 | 33.88 | EXPLORATORY pilot. The full,followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
2716,supplement.md: | | `runs/` | 16200 | 34 | 100 | 5 | 47030 | 2716 | 33.88 | EXPLORATORY pilot. The full 34-cel,followup_dataset_inventory.csv:retry attempts (tol=exact),MATCHED
33.88,supplement.md: ns/` | 16200 | 34 | 100 | 5 | 47030 | 2716 | 33.88 | EXPLORATORY pilot. The full 34-cell design,followup_dataset_inventory.csv:measured cost (US $) (tol=exact),MATCHED
34,supplement.md: | 2716 | 33.88 | EXPLORATORY pilot. The full 34-cell design on a 100-episode sample stratifi,followup_dataset_inventory.csv:cells (tol=exact),MATCHED
100,supplement.md: LORATORY pilot. The full 34-cell design on a 100-episode sample stratified 50:50 on decoder e,followup_dataset_inventory.csv:episodes (tol=exact),MATCHED
50,supplement.md: ll design on a 100-episode sample stratified 50:50 on decoder error. Sole source of the 12 c,followup_task13_confirmation.csv:executed (tol=exact),MATCHED
50,supplement.md: design on a 100-episode sample stratified 50:50 on decoder error. Sole source of the 12 caut,followup_task13_confirmation.csv:executed (tol=exact),MATCHED
12,"supplement.md: d 50:50 on decoder error. Sole source of the 12 caution wordings, the 3 scaffolds, the self-",followup_semantic_fair_cells.csv:n_unfaithful (tol=exact),MATCHED
3,"supplement.md: Sole source of the 12 caution wordings, the 3 scaffolds, the self-confidence arms and the",cost_envelope.csv:price_in (tol=exact),MATCHED
4760,supplement.md: and the single-shot arm. | | `runs_recal/` | 4760 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 1,followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
1,supplement.md: single-shot arm. | | `runs_recal/` | 4760 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 19. T,cost_envelope.csv:price_in (tol=exact),MATCHED
1065,supplement.md: gle-shot arm. | | `runs_recal/` | 4760 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 19. The deco,efigure2_recalibration_paired.csv:n_shared_episodes (tol=exact),MATCHED
5,supplement.md: t arm. | | `runs_recal/` | 4760 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 19. The decoder-,followup_dataset_inventory.csv:models (tol=exact),MATCHED
14279,supplement.md: m. | | `runs_recal/` | 4760 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 19. The decoder-confiden,followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
1767,supplement.md: runs_recal/` | 4760 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 19. The decoder-confidence advi,followup_dataset_inventory.csv:retry attempts (tol=exact),MATCHED
7.7,supplement.md: cal/` | 4760 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 19. The decoder-confidence advisory a,followup_dataset_inventory.csv:measured cost (US $) (tol=exact),MATCHED
19,supplement.md: 0 | 1 | 1065 | 5 | 14279 | 1767 | 7.7 | Task 19. The decoder-confidence advisory arm re-run,IGNORED: SECTION_LABEL,IGNORED
3600,supplement.md: for the product score. | | `runs_natural/` | 3600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20.,followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
3,supplement.md: product score. | | `runs_natural/` | 3600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20. The,cost_envelope.csv:price_in (tol=exact),MATCHED
200,supplement.md: duct score. | | `runs_natural/` | 3600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20. The natur,figure5_naturalistic.csv:n (tol=exact),MATCHED
5,supplement.md: core. | | `runs_natural/` | 3600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20. The naturalis,followup_dataset_inventory.csv:models (tol=exact),MATCHED
9445,supplement.md: . | | `runs_natural/` | 3600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20. The naturalistic sem,followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
881,supplement.md: runs_natural/` | 3600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20. The naturalistic semantic-,followup_dataset_inventory.csv:retry attempts (tol=exact),MATCHED
8.13,supplement.md: atural/` | 3600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20. The naturalistic semantic-action,followup_dataset_inventory.csv:measured cost (US $) (tol=exact),MATCHED
20,"supplement.md: 600 | 3 | 200 | 5 | 9445 | 881 | 8.13 | Task 20. The naturalistic semantic-action benchmark,",IGNORED: SECTION_LABEL,IGNORED
3000,supplement.md: rther free comparators. | | `runs_repeat/` | 3000 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14,followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
2,supplement.md: ree comparators. | | `runs_repeat/` | 3000 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14. Th,cost_envelope.csv:price_in (tol=exact),MATCHED
100,supplement.md: comparators. | | `runs_repeat/` | 3000 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14. Three re,followup_dataset_inventory.csv:episodes (tol=exact),MATCHED
5,supplement.md: ators. | | `runs_repeat/` | 3000 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14. Three repeti,followup_dataset_inventory.csv:models (tol=exact),MATCHED
9003,supplement.md: s. | | `runs_repeat/` | 3000 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14. Three repetitions o,followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
1348,supplement.md: `runs_repeat/` | 3000 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14. Three repetitions of two a,followup_dataset_inventory.csv:retry attempts (tol=exact),MATCHED
7.04,supplement.md: epeat/` | 3000 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14. Three repetitions of two advisory,followup_dataset_inventory.csv:measured cost (US $) (tol=exact),MATCHED
14,"supplement.md: 00 | 2 | 100 | 5 | 9003 | 1348 | 7.04 | Task 14. Three repetitions of two advisory arms, to",IGNORED: SECTION_LABEL,IGNORED
1500,supplement.md: stic variability. | | `runs_confirmation/` | 1500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13.,followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
3,supplement.md: riability. | | `runs_confirmation/` | 1500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13. Cau,cost_envelope.csv:price_in (tol=exact),MATCHED
100,supplement.md: ility. | | `runs_confirmation/` | 1500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13. Caution w,followup_dataset_inventory.csv:episodes (tol=exact),MATCHED
5,supplement.md: | | `runs_confirmation/` | 1500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13. Caution wordi,followup_dataset_inventory.csv:models (tol=exact),MATCHED
4987,supplement.md: `runs_confirmation/` | 1500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13. Caution wording 1 wi,followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
295,supplement.md: confirmation/` | 1500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13. Caution wording 1 with and,followup_dataset_inventory.csv:retry attempts (tol=exact),MATCHED
3.73,supplement.md: mation/` | 1500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13. Caution wording 1 with and withou,followup_dataset_inventory.csv:measured cost (US $) (tol=exact),MATCHED
13,supplement.md: 500 | 3 | 100 | 5 | 4987 | 295 | 3.73 | Task 13. Caution wording 1 with and without an execu,IGNORED: SECTION_LABEL,IGNORED
1,supplement.md: 4987 | 295 | 3.73 | Task 13. Caution wording 1 with and without an executable confirmation,cost_envelope.csv:price_in (tol=exact),MATCHED
"50,230","supplement.md: e no-caution baseline. | Episode runs total 50,230 across the six datasets, carrying 141,879 to",followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
"141,879","supplement.md: tal 50,230 across the six datasets, carrying 141,879 tool-calling requests at a measured cost of",followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
$86.62,supplement.md: ol-calling requests at a measured cost of US $86.62. Every request was served by its pinned prov,followup_dataset_inventory.csv:measured cost (US $) (tol=2x-display-rounding),MATCHED
11,"supplement.md: and totals are given separately in eMethods S11 and are not folded in here. **Retries, stat",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
"8,098","supplement.md: ded in here. **Retries, stated precisely.** 8,098 retry attempts were made against 141,879 req",followup_dataset_inventory.csv:retry attempts (tol=exact),MATCHED
"141,879","supplement.md: ly.** 8,098 retry attempts were made against 141,879 requests, 5.71%, and 3,656 of the 50,230 epi",followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
5.71%,"supplement.md: attempts were made against 141,879 requests, 5.71%, and 3,656 of the 50,230 episode runs record","power_curve.csv:ci_halfwidth_icc0.05 (tol=display-rounding, as-fraction-of-percent)",MATCHED
"3,656","supplement.md: re made against 141,879 requests, 5.71%, and 3,656 of the 50,230 episode runs recorded at least",followup_dataset_inventory.csv:episode runs with at least one retry (tol=exact),MATCHED
"50,230","supplement.md: st 141,879 requests, 5.71%, and 3,656 of the 50,230 episode runs recorded at least one retry som",followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
1,supplement.md: e than one completed trajectory. ### eTable 1b. The 34 experimental cells | name | uncert,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
34,supplement.md: ne completed trajectory. ### eTable 1b. The 34 experimental cells | name | uncertainty_sou,followup_dataset_inventory.csv:cells (tol=exact),MATCHED
0,supplement.md: |---|---|---|---| | factorial:none:advisory:s0 | none | advisory | 0 | 0 | True | | factori,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: ctorial:none:advisory:s0 | none | advisory | 0 | 0 | True | | factorial:none:advisory:s1 |,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: ial:none:advisory:s0 | none | advisory | 0 | 0 | True | | factorial:none:advisory:s1 | none,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: | 0 | 0 | True | | factorial:none:advisory:s1 | none | advisory | 1 | 0 | True | | factori,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,supplement.md: ctorial:none:advisory:s1 | none | advisory | 1 | 0 | True | | factorial:none:advisory:s2 |,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ial:none:advisory:s1 | none | advisory | 1 | 0 | True | | factorial:none:advisory:s2 | none,cost_envelope.csv:cached_frac (tol=exact),MATCHED
2,supplement.md: | 1 | 0 | True | | factorial:none:advisory:s2 | none | advisory | 2 | 0 | True | | factori,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
2,supplement.md: ctorial:none:advisory:s2 | none | advisory | 2 | 0 | True | | factorial:none:enforced:s0 |,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ial:none:advisory:s2 | none | advisory | 2 | 0 | True | | factorial:none:enforced:s0 | none,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: | 2 | 0 | True | | factorial:none:enforced:s0 | none | enforced | 0 | 0 | True | | factori,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: ctorial:none:enforced:s0 | none | enforced | 0 | 0 | True | | factorial:none:enforced:s1 |,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: ial:none:enforced:s0 | none | enforced | 0 | 0 | True | | factorial:none:enforced:s1 | none,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: | 0 | 0 | True | | factorial:none:enforced:s1 | none | enforced | 1 | 0 | True | | factori,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,supplement.md: ctorial:none:enforced:s1 | none | enforced | 1 | 0 | True | | factorial:none:enforced:s2 |,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ial:none:enforced:s1 | none | enforced | 1 | 0 | True | | factorial:none:enforced:s2 | none,cost_envelope.csv:cached_frac (tol=exact),MATCHED
2,supplement.md: | 1 | 0 | True | | factorial:none:enforced:s2 | none | enforced | 2 | 0 | True | | factori,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
2,supplement.md: ctorial:none:enforced:s2 | none | enforced | 2 | 0 | True | | factorial:self_confidence:adv,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ial:none:enforced:s2 | none | enforced | 2 | 0 | True | | factorial:self_confidence:advisor,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: True | | factorial:self_confidence:advisory:s0 | self_confidence | advisory | 0 | 0 | True,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: e:advisory:s0 | self_confidence | advisory | 0 | 0 | True | | factorial:self_confidence:adv,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: visory:s0 | self_confidence | advisory | 0 | 0 | True | | factorial:self_confidence:advisor,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: True | | factorial:self_confidence:advisory:s1 | self_confidence | advisory | 1 | 0 | True,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,supplement.md: e:advisory:s1 | self_confidence | advisory | 1 | 0 | True | | factorial:self_confidence:adv,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: visory:s1 | self_confidence | advisory | 1 | 0 | True | | factorial:self_confidence:advisor,cost_envelope.csv:cached_frac (tol=exact),MATCHED
2,supplement.md: True | | factorial:self_confidence:advisory:s2 | self_confidence | advisory | 2 | 0 | True,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
2,supplement.md: e:advisory:s2 | self_confidence | advisory | 2 | 0 | True | | factorial:self_confidence:enf,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: visory:s2 | self_confidence | advisory | 2 | 0 | True | | factorial:self_confidence:enforce,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: True | | factorial:self_confidence:enforced:s0 | self_confidence | enforced | 0 | 0 | True,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: e:enforced:s0 | self_confidence | enforced | 0 | 0 | True | | factorial:self_confidence:enf,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: forced:s0 | self_confidence | enforced | 0 | 0 | True | | factorial:self_confidence:enforce,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: True | | factorial:self_confidence:enforced:s1 | self_confidence | enforced | 1 | 0 | True,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,supplement.md: e:enforced:s1 | self_confidence | enforced | 1 | 0 | True | | factorial:self_confidence:enf,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: forced:s1 | self_confidence | enforced | 1 | 0 | True | | factorial:self_confidence:enforce,cost_envelope.csv:cached_frac (tol=exact),MATCHED
2,supplement.md: True | | factorial:self_confidence:enforced:s2 | self_confidence | enforced | 2 | 0 | True,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
2,supplement.md: e:enforced:s2 | self_confidence | enforced | 2 | 0 | True | | factorial:decoder_confidence:,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: forced:s2 | self_confidence | enforced | 2 | 0 | True | | factorial:decoder_confidence:advi,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: e | | factorial:decoder_confidence:advisory:s0 | decoder_confidence | advisory | 0 | 0 | Tr,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: dvisory:s0 | decoder_confidence | advisory | 0 | 0 | True | | factorial:decoder_confidence:,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: ory:s0 | decoder_confidence | advisory | 0 | 0 | True | | factorial:decoder_confidence:advi,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: e | | factorial:decoder_confidence:advisory:s1 | decoder_confidence | advisory | 1 | 0 | Tr,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,supplement.md: dvisory:s1 | decoder_confidence | advisory | 1 | 0 | True | | factorial:decoder_confidence:,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ory:s1 | decoder_confidence | advisory | 1 | 0 | True | | factorial:decoder_confidence:advi,cost_envelope.csv:cached_frac (tol=exact),MATCHED
2,supplement.md: e | | factorial:decoder_confidence:advisory:s2 | decoder_confidence | advisory | 2 | 0 | Tr,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
2,supplement.md: dvisory:s2 | decoder_confidence | advisory | 2 | 0 | True | | factorial:decoder_confidence:,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ory:s2 | decoder_confidence | advisory | 2 | 0 | True | | factorial:decoder_confidence:enfo,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: e | | factorial:decoder_confidence:enforced:s0 | decoder_confidence | enforced | 0 | 0 | Tr,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: nforced:s0 | decoder_confidence | enforced | 0 | 0 | True | | factorial:decoder_confidence:,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: ced:s0 | decoder_confidence | enforced | 0 | 0 | True | | factorial:decoder_confidence:enfo,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: e | | factorial:decoder_confidence:enforced:s1 | decoder_confidence | enforced | 1 | 0 | Tr,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,supplement.md: nforced:s1 | decoder_confidence | enforced | 1 | 0 | True | | factorial:decoder_confidence:,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ced:s1 | decoder_confidence | enforced | 1 | 0 | True | | factorial:decoder_confidence:enfo,cost_envelope.csv:cached_frac (tol=exact),MATCHED
2,supplement.md: e | | factorial:decoder_confidence:enforced:s2 | decoder_confidence | enforced | 2 | 0 | Tr,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
2,supplement.md: nforced:s2 | decoder_confidence | enforced | 2 | 0 | True | | caution:w0 | none | advisory,cost_envelope.csv:price_in (tol=exact),MATCHED
0,supplement.md: ced:s2 | decoder_confidence | enforced | 2 | 0 | True | | caution:w0 | none | advisory | 0,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: dence | enforced | 2 | 0 | True | | caution:w0 | none | advisory | 0 | 0 | True | | caution,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: 0 | True | | caution:w0 | none | advisory | 0 | 0 | True | | caution:w1 | none | advisory,cost_envelope.csv:cached_frac (tol=exact),MATCHED
0,supplement.md: True | | caution:w0 | none | advisory | 0 | 0 | True | | caution:w1 | none | advisory | 0,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: none | advisory | 0 | 0 | True | | caution:w1 | none | advisory | 0 | 1 | True | | caution,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0,supplement.md: 0 | True | | caution:w1 | none | advisory | 0 | 1 | True | | caution:w2 | none | advisory,cost_envelope.csv:cached_frac (tol=exact),MATCHED
1,supplement.md: True | | caution:w1 | none | advisory | 0 | 1 | True | | caution:w2 | none | advisory | 0,cost_envelope.csv:price_in (tol=exact),MATCHED
